CID,TID,id,number,title,length,artist,album,year,language
1,1,2726429,9,L'enfant aux yeux d'Italie,219800,Daniel Balavoine,De vous à elle en passant par moi,,French
2,2,14222995,17,Mustard Gas,129000,Action Painting!,There and Back Again Lane,,English
3,3,4489993,10,Your Grace,166000,Kathy Troccoli,Comfort,2005,English
4,4,10339621,2,Some(W).,321266,Ernie Stadler Jazz Quintet,First Down,,English
5,5,11367776,6,Try (acoustic),,Neil Young,"2008-02-15: Le Grand Rex, Paris, France",,English
6,6,3547973,9,Ballade à donner,242000,Luce Dufault,Luce Dufault,,French
7,7,10992441,9,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
8,8,8987422,23,,129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
9,9,12961428,2,Particle/Wave,381000,Lunchbox,Evolver,,English
10,10,3652603,1,,216706,Blanket,Nice,2000,English
11,11,1384421,14,Some(W).,188200,Marlene Dietrich,Die frühen Aufnahmen,,[Multiple languages]
12,12,9341654,1,恋華大乱,232000,奥井雅美,恋華大乱,z,Japanese
13,13,12319476,16,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2 011,English
14,14,547993,21,Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,219546,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),,English
15,15,15394866,3,10cm,225000,Anemone,10cm,2013,
16,16,6956265,3,Anne,162000,Clouseau,"De Pre Historie 1989, Volume 3",2000,[Multiple languages]
4188,17,1819955,4,Free,227600,Jake,Army of Love,,English
17,18,8445557,10,Placebo Persuasion,156000,Caesura,"More Specific, Less Pacific",2 002,English
18,19,2624970,18,"Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240200,Tabu Recz,Tabu Recz,,
19,20,2917807,16,Lass Mich Nie Wieder Weinen,141933,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,German
20,21,2348359,2,Andes Cosmos,249840,Wayanay,Treasures Of The Incas (Andes Cosmos),,
21,22,15086072,4,Special Feature Including A Hybrid Documentary,,Hybrid,Morning Sci-Fi,,English
22,23,5609209,2,,,Little Tony,Cuore matto,,Italian
23,24,10876960,13,Still in love with you,276000,Chris Willis,With This Ring… Forever I Do,2002,English
24,25,15810515,7,À Tout À L'Heure,240000,Bibio,Ministry of Sound: Chillout Sessions XVI,20m13,English
25,26,5389754,2,Fried Bananas,738000,Dexter Gordon,Live at the Amsterdam Paradiso,1994,English
26,27,11454314,13,Wonderful World,333000,Amikaeyla and Trelawny Rose,"To Eva, With Love",2011,English
27,28,4218185,11,Praia nua,297386,Jorge Vercilo,Ensaio - Signo de ar,2005,Portuguese
28,29,3223149,6,,230893,Saints & Sinners,Saints & Sinners,,
29,30,14482067,11,Dey Want Some,252504,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2,201 2,English
30,31,2618386,13,Good Old Mountain Dew,157533,Charlie Walker,Pick Me Up on Your Way Down,,
31,32,6963159,11,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
32,33,5422406,20,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
33,34,9304319,33,Sea Breeze (full mix),30000,Frank Burgo & David Haig,Massive - Rock/Pop,,English
3808,35,626570,1,Groovin' High,160066,Charlie Parker,Bird of Paradise,,English
34,36,11518152,7,Introduction et Variations sur une Ronde Populaire,512533,Gabriel Pierné,Encore!,19 98,English
35,37,6263574,11,Der Weg Zum Licht,429000,Nihilistic Front,Mia Runa,2005,English
36,38,5015950,8,Sound Judgement,319000,Selffish,electronica@*.lv,2003,English
37,39,11464731,12,La distancia es como el viento,240000,Domenico Modugno,Románticos Inolvidables Vol 2,,Spanish
